exp_id,seed,alpha,BA_before,ASR_before,BA_after_ascent,ASR_after_ascent,BA_after_recovery,ASR_after_recovery,stored_BA,stored_ASR,reproduced_checkpoint_identical,runtime_sec
gtsrb_iid,3,0.25,0.8194774346793349,0.7985680190930787,0.6855898653998417,0.0,0.8186856690419636,0.7703261734287987,0.8186856690419636,0.7703261734287987,True,16.60332703590393
gtsrb_iid,3,0.5,0.8194774346793349,0.7985680190930787,0.6844022169437847,0.0,0.8294536817102138,0.7369928400954654,0.8294536817102138,0.7369928400954654,True,15.43527889251709
gtsrb_iid,3,0.75,0.8194774346793349,0.7985680190930787,0.6722882026920032,0.0,0.8291369754552652,0.6677804295942721,0.8291369754552652,0.6677804295942721,True,15.590939998626709
gtsrb_iid,3,1.0,0.8194774346793349,0.7985680190930787,0.6889152810768012,0.0,0.8292953285827395,0.043993635640413684,0.8292953285827395,0.043993635640413684,True,15.323185920715332
gtsrb_iid,4,0.25,0.8335708630245448,0.839538583929992,0.7748218527315914,0.0,0.8380839271575614,0.8090692124105012,0.8380839271575614,0.8090692124105012,True,15.879657983779907
gtsrb_iid,4,0.5,0.8335708630245448,0.839538583929992,0.7707838479809976,0.0,0.840221694378464,0.7746221161495624,0.840221694378464,0.7746221161495624,True,15.716584920883179
gtsrb_iid,4,0.75,0.8335708630245448,0.839538583929992,0.7753760886777514,0.0,0.8429136975455265,0.7197295147175815,0.8429136975455265,0.7197295147175815,True,15.831114292144775
gtsrb_iid,4,1.0,0.8335708630245448,0.839538583929992,0.7778305621536026,0.0,0.842596991290578,0.05163086714399363,0.842596991290578,0.05163086714399363,True,15.796710968017578
cifar10_dirichlet,0,0.25,0.6708,0.9381111111111111,0.4148,0.003,0.6744,0.9357777777777778,0.6744,0.9357777777777778,True,35.989062786102295
cifar10_dirichlet,0,0.5,0.6708,0.9381111111111111,0.3247,0.00788888888888889,0.666,0.9205555555555556,0.666,0.9205555555555556,True,32.83756113052368
cifar10_dirichlet,0,0.75,0.6708,0.9381111111111111,0.2508,0.0022222222222222222,0.6625,0.882,0.6625,0.882,True,37.340270042419434
cifar10_dirichlet,0,1.0,0.6708,0.9381111111111111,0.3076,0.026222222222222223,0.6653,0.8143333333333334,0.6653,0.8143333333333334,True,35.603156328201294
cifar10_dirichlet,1,0.25,0.6639,0.9451111111111111,0.3139,0.005222222222222222,0.6605,0.9448888888888889,0.6605,0.9448888888888889,True,35.953449010849
cifar10_dirichlet,1,0.5,0.6639,0.9451111111111111,0.3,0.021444444444444443,0.6622,0.9152222222222223,0.6622,0.9152222222222223,True,41.8839590549469
cifar10_dirichlet,1,0.75,0.6639,0.9451111111111111,0.3347,0.01911111111111111,0.6608,0.8961111111111111,0.6608,0.8961111111111111,True,44.02110815048218
cifar10_dirichlet,1,1.0,0.6639,0.9451111111111111,0.3841,0.0008888888888888889,0.6651,0.8664444444444445,0.6651,0.8664444444444445,True,49.10373115539551
cifar10_dirichlet,2,0.25,0.6623,0.9214444444444444,0.228,0.016,0.6547,0.9106666666666666,0.6547,0.9106666666666666,True,39.831626892089844
cifar10_dirichlet,2,0.5,0.6623,0.9214444444444444,0.3285,0.017777777777777778,0.6652,0.8963333333333333,0.6652,0.8963333333333333,True,38.082279920578
cifar10_dirichlet,2,0.75,0.6623,0.9214444444444444,0.3404,0.008555555555555556,0.6677,0.8651111111111112,0.6677,0.8651111111111112,True,39.906368017196655
cifar10_dirichlet,2,1.0,0.6623,0.9214444444444444,0.3774,0.007,0.6677,0.8057777777777778,0.6677,0.8057777777777778,True,42.65897178649902
cifar10_dirichlet,3,0.25,0.6653,0.9252222222222222,0.4156,0.011555555555555555,0.6725,0.9225555555555556,0.6725,0.9225555555555556,True,35.1312620639801
cifar10_dirichlet,3,0.5,0.6653,0.9252222222222222,0.4736,0.007222222222222222,0.6685,0.8902222222222222,0.6685,0.8902222222222222,True,37.243178844451904
cifar10_dirichlet,3,0.75,0.6653,0.9252222222222222,0.4142,0.015555555555555555,0.6676,0.8446666666666667,0.6676,0.8446666666666667,True,38.00099587440491
cifar10_dirichlet,3,1.0,0.6653,0.9252222222222222,0.3725,0.0032222222222222222,0.6654,0.7825555555555556,0.6654,0.7825555555555556,True,33.32996988296509
cifar10_dirichlet,4,0.25,0.6595,0.8844444444444445,0.4132,0.0017777777777777779,0.6628,0.8656666666666667,0.6628,0.8656666666666667,True,31.758921146392822
cifar10_dirichlet,4,0.5,0.6595,0.8844444444444445,0.4459,0.0013333333333333333,0.6651,0.8265555555555556,0.6651,0.8265555555555556,True,31.52246618270874
cifar10_dirichlet,4,0.75,0.6595,0.8844444444444445,0.4401,0.0016666666666666668,0.6556,0.7358888888888889,0.6556,0.7358888888888889,True,35.34013295173645
cifar10_dirichlet,4,1.0,0.6595,0.8844444444444445,0.3671,0.0003333333333333333,0.6644,0.6361111111111111,0.6644,0.6361111111111111,True,37.99488687515259
