exp_id,method,alpha,n,BA,BA_std,ASR,ASR_std,cfASR,dASR,gap,BPR,ASR_ci95_half
gtsrb_iid,full_retrain,1.0,5,0.8232304038004751,0.006420775094880899,0.00168655529037384,0.0006043000482047407,0.00168655529037384,0.8326491646778044,0.0,0.0,0.0007503376139686268
gtsrb_iid,grad_negation,0.25,5,0.8317181314330957,0.009038378429892238,0.8017024661893396,0.021343345665305866,0.7816865552903739,0.0326332537788385,0.02001591089896577,0.4700892199481806,0.026501263913828708
gtsrb_iid,grad_negation,0.5,5,0.8366112430720507,0.004309344049947305,0.7689260143198091,0.022637594605219455,0.7238822593476532,0.06540970564836912,0.04504375497215592,0.3912603851737718,0.028108286227232823
gtsrb_iid,grad_negation,0.75,5,0.8358986539984163,0.008571498424915832,0.7213842482100239,0.03346311147536761,0.5936674622116149,0.11295147175815431,0.1277167859984089,0.5203410335692876,0.04154994078684329
gtsrb_iid,grad_negation,1.0,5,0.8388756927949327,0.006677875490930916,0.1508035003977724,0.1181658987310232,0.00168655529037384,0.6835322195704058,0.14911694510739856,0.17763848705428129,0.14672234226970365
gtsrb_iid,short_retrain,0.25,5,0.8330641330166271,0.007574636095465619,0.8326491646778044,0.019589282731554327,0.7816865552903739,0.0016865552903739145,0.05096260938743036,1.0107289327515325,0.02432330711840576
gtsrb_iid,short_retrain,0.5,5,0.8351068883610452,0.007928258934291691,0.8120445505171043,0.01947896314024005,0.7238822593476532,0.022291169451073966,0.08816229116945107,0.7854020599885188,0.024186327253574284
gtsrb_iid,short_retrain,0.75,5,0.8336342042755345,0.009519545474151223,0.7678281622911695,0.03069353246357479,0.5936674622116149,0.06650755767700874,0.17416070007955448,0.7157505697139855,0.038111054237719384
gtsrb_iid,short_retrain,1.0,5,0.8362153602533651,0.012053263387868642,0.6875258552108194,0.03695395771823933,0.00168655529037384,0.14680986475735874,0.6858392999204457,0.8234584695262228,0.045884398889881946
mnist_iid,federaser,0.25,5,0.96122,0.002221936092690307,0.5686917960088692,0.07617067978130322,0.9905321507760532,0.42605321507760535,-0.42184035476718407,,0.09457839080315174
mnist_iid,federaser,0.5,5,0.9612399999999999,0.0019944924166314017,0.1442572062084257,0.032106916333249816,0.9755654101995563,0.8504878048780486,-0.8313082039911308,,0.03986600210433678
mnist_iid,federaser,0.75,5,0.9639,0.0012845232578665162,0.01807095343680706,0.0038340613006187622,0.8438137472283813,0.9766740576496675,-0.8257427937915743,-5.520758631713397,0.004760615883884625
mnist_iid,federaser,1.0,5,0.9657399999999999,0.0019243180610283655,0.0032594235033259,0.0004995068880739817,0.00141906873614186,0.9914855875831486,0.0018403547671840402,0.0018531217763677293,0.0006202197197762614
mnist_iid,full_retrain,0.25,5,0.9860599999999999,0.00043931765272981377,0.9905321507760532,0.003182996143113908,0.9905321507760532,0.004212860310421296,0.0,,0.003952211717325973
mnist_iid,full_retrain,0.5,5,0.9860800000000001,0.0004816637831517066,0.9755654101995563,0.006341909183780538,0.9755654101995563,0.019179600886918013,0.0,,0.00787452031337812
mnist_iid,full_retrain,0.75,5,0.98598,0.0006685805860178116,0.8438137472283813,0.013927630415568857,0.8438137472283813,0.1509312638580931,0.0,0.0,0.01729343726729962
mnist_iid,full_retrain,1.0,5,0.9862400000000001,0.0005941380311005511,0.00141906873614186,0.0004794179226261733,0.00141906873614186,0.9933259423503327,0.0,0.0,0.0005952759746185583
mnist_iid,grad_negation,0.25,5,0.9857800000000001,0.0010894952959971988,0.978381374722838,0.00707756572684523,0.9905321507760532,0.01636363636363638,-0.012150776053215084,,0.008787958557944588
mnist_iid,grad_negation,0.5,5,0.9861599999999999,0.0007700649323271524,0.9480487804878048,0.010363808091086854,0.9755654101995563,0.046696230598669605,-0.027516629711751596,,0.012868367390995424
mnist_iid,grad_negation,0.75,5,0.98622,0.0005263078946776328,0.8320177383592018,0.03911651655936526,0.8438137472283813,0.16272727272727272,-0.011796008869179619,-0.08797805737315598,0.04856957034690531
mnist_iid,grad_negation,1.0,5,0.98626,0.0006503845016603358,0.4902217294900222,0.09036471045638225,0.00141906873614186,0.5045232815964524,0.48880266075388024,0.49207507858950617,0.11220260768179728
mnist_iid,short_retrain,0.25,5,0.98698,0.0006833739825308058,0.9960310421286032,0.0017934749856978688,0.9905321507760532,-0.0012860310421286768,0.005498891352549972,,0.002226893321420055
mnist_iid,short_retrain,0.5,5,0.98744,0.0006107372593841024,0.9930598669623059,0.0014318300923249448,0.9755654101995563,0.001685144124168514,0.0174944567627495,,0.0017778518771846604
mnist_iid,short_retrain,0.75,5,0.98694,0.0006913754406977609,0.9867184035476718,0.004617486684155317,0.8438137472283813,0.0080266075388026,0.1429046563192905,0.9458028906054823,0.005733366977901015
mnist_iid,short_retrain,1.0,5,0.98712,0.0006978538528947303,0.9704212860310422,0.009760631883203879,0.00141906873614186,0.024323725055432323,0.9690022172949003,0.9755089641669983,0.012119425209094096
